title,revenue,releaseDate
永遠の０,87.6,2013-12
ＳＴＡＮＤ ＢＹ ＭＥ ドラえもん,83.8,2014-8
るろうに剣心 京都大火,52.2,2014-8
テルマエ・ロマエⅡ,44.2,2014-4
るろうに剣心 伝説の最期,43.5,2014-9
ルパン三世ｖｓ名探偵コナン ＴＨＥ ＭＯＶＩＥ,42.6,2013-12
名探偵コナン 異次元の狙撃手（スナイパー）,41.1,2014-4
映画ドラえもん 新・のび太の大魔境 ～ペコと５人の探検隊～,35.8,2014-3
思い出のマーニ,35.3,2014-7
ポケモン・ザ・ムービーＸＹ「破壊の繭とディアンシー」／ピカチュウ、これなんのカギ？,29.1,7
かぐや姫の物語,24.7,2013-11
ホットロード,24.7,2014-8
ルパン三世,24.5,2014-8
土竜の唄 潜入捜査官 ＲＥＩＪＩ,21.9,2014-2
相棒 ‐劇場版Ⅲ‐　巨大密室！ 特命係 絶海の孤島へ,21.2,2014-4
映画クレヨンしんちゃん ガチンコ！逆襲のロボとーちゃん,18.3,2014-4
トリック劇場版 ラストステージ,18,2014-1
カノジョは嘘を愛しすぎてる,17.8,2013-12
超高速！参勤交代,15.5,2014-6
抱きしめたい ‐真実の物語‐,15.1,2014-2
小さいおうち,12.6,2014-1
ふしぎな岬の物語,12.6,2014-10
神さまの言うとおり,12.2,2014-11
青天の霹靂,11.8,2014-5
近キョリ恋愛,11.7,2014-10
クローズＥＸＰＬＯＤＥ,11.4,2014-4
蜩ノ記,11.2,2014-10
好きっていいなよ。,11,2014-7
仮面ライダー×仮面ライダー 鎧武＆ウィザード 天下分け目の戦国ＭＯＶＩＥ大合戦,10.1,2013-12
平成ライダー対昭和ライダー 仮面ライダー大戦ｆｅａｔ．スーパー戦隊,10.1,2014-3
白ゆき姫殺人事件,10,2014-3
